metric,value,period,definition,source,source_type
U.S. pickleball participants,24300000,2025,People who participated in pickleball during the year,Sports & Fitness Industry Association,reported figure
Core U.S. pickleball participants,7500000,2025,People who played at least eight times during the year,Sports & Fitness Industry Association,reported figure
Known pickleball courts,82613,2025,Courts in the Pickleheads database cited by USA Pickleball,USA Pickleball,reported figure
Known pickleball locations,18258,2025,Locations in the same Pickleheads database,USA Pickleball,reported figure
USA Pickleball members,104828,2025,Reported year-end membership,USA Pickleball,reported figure
Female share of participants,42.9%,2025,SFIA participant mix,Sports & Fitness Industry Association,reported figure
Highest participation-rate age group,13-24,2025,SFIA age-segment finding,Sports & Fitness Industry Association,reported figure
