year,pickleball_millions,tennis_millions,pickleball_as_pct_of_tennis,notes
2020,4.2,21.64,19.4,"Pickleball: SFIA 2026 five-year baseline; Tennis: USTA/PAC 2020"
2021,,22.6,,"No pickleball value inserted; tennis from USTA/PAC"
2022,8.9,23.6,37.7,"Pickleball: SFIA reported; Tennis: USTA"
2023,13.6,23.8,57.1,"Pickleball: SFIA reported; Tennis: USTA/PAC"
2024,19.8,25.7,77.0,"Pickleball: SFIA reported; Tennis: USTA"
2025,24.3,27.3,89.0,"Pickleball: SFIA 2026 report; Tennis: USTA 2026 report"
